timestamp,workload,runqueue_depth,ctx_switches,latency_ms,numa_imbalance,io_wait_ms
2025-09-27T07:04:06.152180,web,2,800,10,0.0,5
2025-09-27T07:04:06.152180,oltp,3,803,11,0.1,6
2025-09-27T07:04:06.152180,web,4,806,12,0.2,7
2025-09-27T07:04:06.152180,oltp,5,809,13,0.0,8
2025-09-27T07:04:06.152180,web,2,812,14,0.1,9
2025-09-27T07:04:06.152180,oltp,3,815,10,0.2,10
2025-09-27T07:04:06.152180,web,4,818,11,0.0,11
2025-09-27T07:04:06.152180,oltp,5,821,12,0.1,5
2025-09-27T07:04:06.152180,web,2,824,13,0.2,6
2025-09-27T07:04:06.152180,oltp,3,827,14,0.0,7
2025-09-27T07:04:06.152180,web,4,830,10,0.1,8
2025-09-27T07:04:06.152180,oltp,5,833,11,0.2,9
2025-09-27T07:04:06.152180,web,2,836,12,0.0,10
2025-09-27T07:04:06.152180,oltp,3,839,13,0.1,11
2025-09-27T07:04:06.152180,web,4,842,14,0.2,5
2025-09-27T07:04:06.152180,oltp,5,845,10,0.0,6
2025-09-27T07:04:06.152180,web,2,848,11,0.1,7
2025-09-27T07:04:06.152180,oltp,3,851,12,0.2,8
2025-09-27T07:04:06.152180,web,4,854,13,0.0,9
2025-09-27T07:04:06.152180,oltp,5,857,14,0.1,10
2025-09-27T07:04:06.152180,web,2,860,10,0.2,11
2025-09-27T07:04:06.152180,oltp,3,863,11,0.0,5
2025-09-27T07:04:06.152180,web,4,866,12,0.1,6
2025-09-27T07:04:06.152180,oltp,5,869,13,0.2,7
2025-09-27T07:04:06.152180,web,2,872,14,0.0,8
2025-09-27T07:04:06.152180,oltp,3,875,10,0.1,9
2025-09-27T07:04:06.152180,web,4,878,11,0.2,10
2025-09-27T07:04:06.152180,oltp,5,881,12,0.0,11
2025-09-27T07:04:06.152180,web,2,884,13,0.1,5
2025-09-27T07:04:06.152180,oltp,3,887,14,0.2,6
2025-09-27T07:04:06.152180,web,4,890,10,0.0,7
2025-09-27T07:04:06.152180,oltp,5,893,11,0.1,8
2025-09-27T07:04:06.152180,web,2,896,12,0.2,9
2025-09-27T07:04:06.152180,oltp,3,899,13,0.0,10
2025-09-27T07:04:06.152180,web,4,902,14,0.1,11
2025-09-27T07:04:06.152180,oltp,5,905,10,0.2,5
2025-09-27T07:04:06.152180,web,2,908,11,0.0,6
2025-09-27T07:04:06.152180,oltp,3,911,12,0.1,7
2025-09-27T07:04:06.152180,web,4,914,13,0.2,8
2025-09-27T07:04:06.152180,oltp,5,917,14,0.0,9
2025-09-27T07:04:06.152180,web,2,800,10,0.1,10
2025-09-27T07:04:06.152180,oltp,3,803,11,0.2,11
2025-09-27T07:04:06.152180,web,4,806,12,0.0,5
2025-09-27T07:04:06.152180,oltp,5,809,13,0.1,6
2025-09-27T07:04:06.152180,web,2,812,14,0.2,7
2025-09-27T07:04:06.152180,oltp,3,815,10,0.0,8
2025-09-27T07:04:06.152180,web,4,818,11,0.1,9
2025-09-27T07:04:06.152180,oltp,5,821,12,0.2,10
2025-09-27T07:04:06.152180,web,2,824,13,0.0,11
2025-09-27T07:04:06.152180,oltp,3,827,14,0.1,5
2025-09-27T07:04:06.152180,web,4,830,10,0.2,6
2025-09-27T07:04:06.152180,oltp,5,833,11,0.0,7
2025-09-27T07:04:06.152180,web,2,836,12,0.1,8
2025-09-27T07:04:06.152180,oltp,3,839,13,0.2,9
2025-09-27T07:04:06.152180,web,4,842,14,0.0,10
2025-09-27T07:04:06.152180,oltp,5,845,10,0.1,11
2025-09-27T07:04:06.152180,web,2,848,11,0.2,5
2025-09-27T07:04:06.152180,oltp,3,851,12,0.0,6
2025-09-27T07:04:06.152180,web,4,854,13,0.1,7
2025-09-27T07:04:06.152180,oltp,5,857,14,0.2,8
